ProductName,Brand,Price,Category,Rank,Sales,Revenue,numReviews,Rating,BB Seller,ASIN,Link
Shattered: Inside Hillary Clinton's Doomed Campaign,Visit Amazon's Jonathan Allen Page,$16.80,Books,1,13770,231336,176,3,AMZ,553447084,https://www.amazon.com/dp/0553447084
Fujifilm Instax Mini Instant Film,Fujifilm,$37.50,Camera & Photo,1,4170,156375,1787,4.5,FBA,B00O4OR4GQ,https://www.amazon.com/dp/B00O4OR4GQ
Lnabni Strapless Self Adhesive Silicone Invisible Push-up Bras ,Lnabni,$14.99,"Clothing, Shoes & Jewelry",1,9180,137608,184,3.5,N.A.,B06WWJK9VR,https://www.amazon.com/dp/B06WWJK9VR
Fire TV Stick with Alexa Voice Remote ,Amazon,$39.99,Electronics,1,5009,200310,60634,4.5,AMZ,B00ZV9RDKK,https://www.amazon.com/dp/B00ZV9RDKK
"Angel Soft Toilet Paper, 48 Double Rolls",Angel Soft,$21.29,Health & Household,1,5430,115605,2080,4,AMZ,B00FFJ2LXU,https://www.amazon.com/dp/B00FFJ2LXU
URPOWER 2nd Version Essential Oil Diffuser,URPOWER,$19.95,Home & Kitchen,2,8136,162313,13516,4.5,FBA,B00Y2CQRZY,https://www.amazon.com/dp/B00Y2CQRZY
Scotch Heavy Duty Shipping Packaging Tape,Scotch,$9.60,Office Products,1,10890,104544,2331,4.5,AMZ,B000J07BRQ,https://www.amazon.com/dp/B000J07BRQ
TP-Link Smart Plug,TP-Link,$24.99,Tools & Home Improvement,1,7859,196396,6047,4,AMZ,B0178IC734,https://www.amazon.com/dp/B0178IC734
AMILIFE EDC Fidget Spinner,AMILIFE,$3.07,Toys & Games,1,8399,25785,224,3,Merch,B01N9PIC2S,https://www.amazon.com/dp/B01N9PIC2S
Mario Kart 8 Deluxe - Nintendo Switch,Nintendo,$59.00,Video Games,1,31529,1860211,N.A.,N.A.,AMZ,B01N1037CV,https://www.amazon.com/dp/B01N1037CV
