"Export date: 4/23/2017 | Export time: 0:01",,,,,,,,,,,,
"Amazon Best Sellers",,,,,,,,,,,,
"Average Sales: --",,,,,,,,,,,,
"Average Sales Rank: --",,,,,,,,,,,,
"Average Price: --",,,,,,,,,,,,
"Average Reviews: --",,,,,,,,,,,,
,,,,,,,,,,,,,
#,Product Name,Brand,Price,Category,Rank,Est. Sales,Est. Revenue,# of Reviews,Rating,BB Seller,ASIN,Link
"1","Shattered: Inside Hillary Clinton's Doomed Campaign","Visit Amazon's Jonathan Allen Page","$16.80","Books","1","13,770","$231,336","176","3","AMZ","0553447084","https://www.amazon.com/dp/0553447084"
"2","Thirteen Reasons Why","Visit Amazon's Jay Asher Page","$5.43","Books","2","11,691","$63,482","3639","4.5","AMZ","159514188X","https://www.amazon.com/dp/159514188X"
"3","The Immortal Life of Henrietta Lacks","Visit Amazon's Rebecca Skloot Page","$9.70","Books","3","10,553","$102,364","5242","4.5","AMZ","1400052181","https://www.amazon.com/dp/1400052181"
"4","Make Your Bed: Little Things That Can Change Your Life...And Maybe the World","Visit Amazon's William H. McRaven Page","$11.23","Books","4","9,782","$109,852","65","5","AMZ","1455570249","https://www.amazon.com/dp/1455570249"
"5","This Fight Is Our Fight: The Battle to Save America's Middle Class","Visit Amazon's Elizabeth Warren Page","$16.96","Books","5","9,203","$156,083","27","3","AMZ","1250120616","https://www.amazon.com/dp/1250120616"
"6","Milk and Honey","Visit Amazon's Rupi Kaur Page","$8.99","Books","6","8,744","$78,609","2033","4.5","AMZ","144947425X","https://www.amazon.com/dp/144947425X"
"7","The Whole30: The 30-Day Guide to Total Health and Food Freedom","Visit Amazon's Melissa Hartwig Page","$18.00","Books","7","8,365","$150,570","2595","4.5","AMZ","0544609719","https://www.amazon.com/dp/0544609719"
"8","Oh, The Places You'll Go!","Visit Amazon's Dr. Seuss Page","$11.39","Books","8","8,043","$91,610","3549","5","AMZ","0679805273","https://www.amazon.com/dp/0679805273"
"9","The Handmaid's Tale","Visit Amazon's Margaret Atwood Page","$8.69","Books","9","7,764","$67,469","3727","4","AMZ","038549081X","https://www.amazon.com/dp/038549081X"
"10","Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","Visit Amazon's J. D. Vance Page","$15.67","Books","10","7,519","$117,823","5972","4.5","AMZ","0062300547","https://www.amazon.com/dp/0062300547"
"11","Good Night Stories for Rebel Girls","Visit Amazon's Elena Favilli Page","N.A.","Books","11","7,301","N.A.","317","4.5","N.A.","014198600X","https://www.amazon.com/dp/014198600X"
"12","First 100 Words","Visit Amazon's Roger Priddy Page","$3.92","Books","12","7,104","$27,848","6681","4.5","AMZ","0312510780","https://www.amazon.com/dp/0312510780"
"13","Everything, Everything","Visit Amazon's Nicola Yoon Page","$6.59","Books","13","6,926","$45,642","952","4.5","AMZ","0553496670","https://www.amazon.com/dp/0553496670"
"14","Killers of the Flower Moon: The Osage Murders and the Birth of the FBI","Visit Amazon's David Grann Page","$17.37","Books","14","6,763","$117,473","13","4.5","AMZ","0385534248","https://www.amazon.com/dp/0385534248"
"15","The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life","Visit Amazon's Mark Manson Page","$13.59","Books","15","6,613","$89,871","1065","4.5","AMZ","0062457713","https://www.amazon.com/dp/0062457713"
"16","Option B: Facing Adversity, Building Resilience, and Finding Joy","Visit Amazon's Sheryl Sandberg Page","$15.88","Books","16","6,474","$102,807","N.A.","N.A.","AMZ","1524732680","https://www.amazon.com/dp/1524732680"
"17","The Wonderful Things You Will Be","Visit Amazon's Emily Winfield Martin Page","$7.99","Books","17","6,345","$50,697","1001","5","AMZ","0385376715","https://www.amazon.com/dp/0385376715"
"18","You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","Visit Amazon's Jen Sincero Page","$7.75","Books","18","6,224","$48,236","2271","4.5","AMZ","0762447699","https://www.amazon.com/dp/0762447699"
"19","The Going-To-Bed Book","Visit Amazon's Sandra Boynton Page","$2.99","Books","19","6,111","$18,272","2159","4.5","AMZ","0671449028","https://www.amazon.com/dp/0671449028"
"20","Big Little Lies","Visit Amazon's Liane Moriarty Page","$9.91","Books","20","6,005","$59,510","13679","4.5","AMZ","0425274861","https://www.amazon.com/dp/0425274861"
