"Export date: 4/23/2017 | Export time: 0:02",,,,,,,,,,,,
"Amazon Best Sellers",,,,,,,,,,,,
"Average Sales: --",,,,,,,,,,,,
"Average Sales Rank: --",,,,,,,,,,,,
"Average Price: --",,,,,,,,,,,,
"Average Reviews: --",,,,,,,,,,,,
,,,,,,,,,,,,,
#,Product Name,Brand,Price,Category,Rank,Est. Sales,Est. Revenue,# of Reviews,Rating,BB Seller,ASIN,Link
"1","Lnabni Strapless Self Adhesive Silicone Invisible Push-up Bras for Women, Pack of 2","Lnabni","$14.99","Clothing, Shoes & Jewelry","1","9,180","$137,608","184","3.5","N.A.","B06WWJK9VR","https://www.amazon.com/dp/B06WWJK9VR"
"2","Lanmo Womens Swing Tunic Tops Loose Fit Comfy Flattering T Shirt","Lanmo","$9.99","Clothing, Shoes & Jewelry","2","8,163","$81,548","976","4.5","N.A.","B01KHLD904","https://www.amazon.com/dp/B01KHLD904"
"3","Travelambo RFID Front Pocket Wallet Minimalist Wallet Slim Wallet Genuine Leather","Travelambo","$10.15","Clothing, Shoes & Jewelry","3","7,596","$77,099","1044","4.5","FBA","B01FICEFNM","https://www.amazon.com/dp/B01FICEFNM"
"4","Crocs Unisex Classic Clog","N.A.","$13.75","Clothing, Shoes & Jewelry","4","7,206","$99,083","7253","4.5","N.A.","B01EQYX9NU","https://www.amazon.com/dp/B01EQYX9NU"
"5","i play. Baby & Toddler Flap Sun Protection Swim Hat","i play.","$6.84","Clothing, Shoes & Jewelry","5","6,911","$47,271","1692","4.5","N.A.","B01GSBPG4Y","https://www.amazon.com/dp/B01GSBPG4Y"
"6","Milumia Women's Button Up Split Floral Print Flowy Party Maxi Dress","Milumia","$24.99","Clothing, Shoes & Jewelry","6","6,674","$166,783","1085","4","N.A.","B01FQS7RSS","https://www.amazon.com/dp/B01FQS7RSS"
"7","Levi's Men's 505 Regular Fit Jean","N.A.","$29.90","Clothing, Shoes & Jewelry","7","6,477","$193,662","7817","4","N.A.","B01ECFBFCA","https://www.amazon.com/dp/B01ECFBFCA"
"8","ASICS Men's GEL Venture 5 Trail Running Shoe","N.A.","$48.95","Clothing, Shoes & Jewelry","8","6,309","$308,826","5705","4.5","N.A.","B00Q2JC290","https://www.amazon.com/dp/B00Q2JC290"
"9","Hanes Men's 5-Pack Ultimate FreshIQ Boxer with ComfortFlex Waistband Brief - Assorted Colors","N.A.","$17.49","Clothing, Shoes & Jewelry","9","6,163","$107,791","4307","4.5","N.A.","B00ACIFJEW","https://www.amazon.com/dp/B00ACIFJEW"
"10","GRACE KARIN BoatNeck Sleeveless Vintage Tea Dress with Belt","GRACE KARIN","$25.99","Clothing, Shoes & Jewelry","10","6,033","$156,798","3619","4.5","N.A.","B016XUCYZO","https://www.amazon.com/dp/B016XUCYZO"
"11","Champion Men's Long Mesh Short With Pockets","N.A.","$9.95","Clothing, Shoes & Jewelry","11","5,917","$58,874","3440","4.5","N.A.","B002VLZH7M","https://www.amazon.com/dp/B002VLZH7M"
"12","Hanes Men's ComfortSoft T-Shirt (Pack of 4)","N.A.","$12.27","Clothing, Shoes & Jewelry","12","5,812","$71,313","2809","4","N.A.","B010283OG6","https://www.amazon.com/dp/B010283OG6"
"13","Gerber Unisex Baby Onesies (Pack of 5)","N.A.","$9.99","Clothing, Shoes & Jewelry","13","5,716","$57,103","1949","4.5","N.A.","B007CRR6Y2","https://www.amazon.com/dp/B007CRR6Y2"
"14","LALABRA Women's Strapless Bra Self Adhesive Silicone Push Up with Drawstring","KISSBOBO","$5.99","Clothing, Shoes & Jewelry","14","5,628","$33,712","184","3.5","N.A.","B06XD1MPQH","https://www.amazon.com/dp/B06XD1MPQH"
"15","Sanuk Women's Yoga Sling 2 Flip Flop","N.A.","$18.00","Clothing, Shoes & Jewelry","15","5,547","$99,846","6283","4.5","N.A.","B01H94Y3XE","https://www.amazon.com/dp/B01H94Y3XE"
"16","Levi's Men's 501 Original-Fit Jean","N.A.","$27.99","Clothing, Shoes & Jewelry","16","5,472","$153,161","7628","4.5","N.A.","B0018OR118","https://www.amazon.com/dp/B0018OR118"
"17","Fruit of the Loom Men's 6-Pack Stay Tucked Crew T-Shirt","N.A.","$13.99","Clothing, Shoes & Jewelry","17","5,401","$75,560","1634","4.5","N.A.","B00XWUD2N2","https://www.amazon.com/dp/B00XWUD2N2"
"18","Levi's Men's 511 Slim Fit Jean","N.A.","$24.90","Clothing, Shoes & Jewelry","18","5,335","$132,842","4691","4.5","N.A.","B0018OLTAC","https://www.amazon.com/dp/B0018OLTAC"
"19","Waist Trainer Corset for Weight Loss Sport Workout Body Shaper Tummy Fat Burner","SAYFUT","$4.51","Clothing, Shoes & Jewelry","19","5,273","$23,781","1774","3.5","N.A.","B00TF7XBR8","https://www.amazon.com/dp/B00TF7XBR8"
"20","Champion Men's Classic Jersey T-Shirt","N.A.","$6.63","Clothing, Shoes & Jewelry","20","5,215","$34,575","58","4","N.A.","B01N6DJO7M","https://www.amazon.com/dp/B01N6DJO7M"
