"Export date: 4/23/2017 | Export time: 0:02",,,,,,,,,,,,
"Amazon Best Sellers",,,,,,,,,,,,
"Average Sales: --",,,,,,,,,,,,
"Average Sales Rank: --",,,,,,,,,,,,
"Average Price: --",,,,,,,,,,,,
"Average Reviews: --",,,,,,,,,,,,
,,,,,,,,,,,,,
#,Product Name,Brand,Price,Category,Rank,Est. Sales,Est. Revenue,# of Reviews,Rating,BB Seller,ASIN,Link
"1","Angel Soft Toilet Paper, 48 Double Rolls, Bath Tissue (Pack of 4 with 12 rolls each)","Angel Soft","$21.29","Health & Household","1","5,430","$115,605","2080","4","AMZ","B00FFJ2LXU","https://www.amazon.com/dp/B00FFJ2LXU"
"2","Bounty Select-a-Size Paper Towels, White, Huge Roll, 12 Count","Bounty","$23.99","Health & Personal Care","2","13,090","$314,029","3116","4.5","AMZ","B019DM86LA","https://www.amazon.com/dp/B019DM86LA"
"3","Cascade Platinum ActionPacs Dishwasher Detergent, Fresh Scent, 62 count","Cascade","N.A.","Health & Personal Care","3","12,128","N.A.","60","4.5","N.A.","B01NGTV4J5","https://www.amazon.com/dp/B01NGTV4J5"
"4","Pampers Baby Wipes Sensitive 9X Refill, 576 Count","Pampers","$14.64","Health & Personal Care","4","11,468","$167,892","1351","4.5","AMZ","B00FMWWN6U","https://www.amazon.com/dp/B00FMWWN6U"
"5","Cottonelle Ultra ComfortCare Toilet Paper, Bath Tissue, 36 Family Rolls","Cottonelle","$19.99","Health & Household","5","3,916","$78,281","979","4.5","AMZ","B01BT3U5TC","https://www.amazon.com/dp/B01BT3U5TC"
"6","AmazonBasics AA Performance Alkaline Batteries (48-Pack) - Packaging May Vary","AmazonBasics","$12.49","Health & Household","6","3,760","$46,962","12855","4.5","AMZ","B00MNV8E0C","https://www.amazon.com/dp/B00MNV8E0C"
"7","Playtex Diaper Genie Refills for Diaper Genie Diaper Pails - 270 Count (Pack of 3)","Playtex","$16.87","Health & Personal Care","7","10,237","$172,698","2556","4.5","AMZ","B009TJ3J60","https://www.amazon.com/dp/B009TJ3J60"
"8","Pampers Baby Wipes Sensitive 7X Refill, 448 Count","Pampers","$11.64","Health & Personal Care","8","9,953","$115,853","3844","4.5","AMZ","B005DLCJX2","https://www.amazon.com/dp/B005DLCJX2"
"9","Pampers Swaddlers Diapers Size 5, 124 Count","Pampers","N.A.","Health & Household","9","3,425","N.A.","7733","4.5","N.A.","B00DFFT6IO","https://www.amazon.com/dp/B00DFFT6IO"
"10","Sparkle Paper Towels, 24 Giant Plus Rolls, Pick-A-Size, White","Sparkle","$27.49","Health & Household","10","3,341","$91,844","426","4.5","AMZ","B01M4IWGHE","https://www.amazon.com/dp/B01M4IWGHE"
"11","Glad Tall Kitchen Drawstring Trash Bags, 13 Gallon, 90 Count, (Packaging May Vary)","Glad","$12.73","Health & Household","11","3,265","$41,563","3049","4.5","AMZ","B00ASBOP9S","https://www.amazon.com/dp/B00ASBOP9S"
"12","Kleenex Ultra Soft Facial Tissues, Medium Count Flat, 170 ct, 6 Pack. Designs May Vary","Kleenex","$12.33","Health & Personal Care","12","9,117","$112,413","3521","4.5","AMZ","B010OW13V8","https://www.amazon.com/dp/B010OW13V8"
"13","Quilted Northern Ultra Plush Toilet Paper, 24 Supreme (92+ Regular) Bath Tissue Rolls","Quilted Northern","$23.93","Health & Household","13","3,135","$75,021","7405","4.5","AMZ","B01B5KAAUS","https://www.amazon.com/dp/B01B5KAAUS"
"14","Charmin Ultra Soft Toilet Paper, Bath Tissue, Mega Roll, 24 Count","Charmin","$19.81","Health & Household","14","3,078","$60,975","2204","4.5","AMZ","B00XSFLOCC","https://www.amazon.com/dp/B00XSFLOCC"
"15","AmazonBasics AAA Performance Alkaline Batteries (36-Pack)","AmazonBasics","$8.99","Health & Personal Care","15","8,672","$77,961","12855","4.5","AMZ","B00LH3DMUO","https://www.amazon.com/dp/B00LH3DMUO"
"16","Tide PODS Spring Meadow HE Turbo Laundry Detergent Pacs 81-load Tub","Tide","$19.97","Health & Household","16","2,976","$59,431","1798","4.5","AMZ","B01BUNHFQM","https://www.amazon.com/dp/B01BUNHFQM"
"17","Clorox Disinfecting Wipes Value Pack, Fresh Scent and Citrus Blend, 225 Count","Clorox Disinfecting Wipes","$9.97","Health & Household","17","2,931","$29,222","1622","4.5","AMZ","B00HSC9F2C","https://www.amazon.com/dp/B00HSC9F2C"
"18","HUGGIES Natural Care Baby Wipes, Refill Pack (648  Sheets Total), Fragrance-free, Alcohol-free, Hypoallergenic","Huggies","$14.97","Health & Household","18","2,888","$43,233","2857","4.5","AMZ","B01BOGG5KM","https://www.amazon.com/dp/B01BOGG5KM"
"19","Pampers Swaddlers Diapers Size 1, 216 Count","Pampers","$31.99","Health & Household","19","2,848","$91,108","7733","4.5","AMZ","B00DFFT9SQ","https://www.amazon.com/dp/B00DFFT9SQ"
"20","Finish All In 1 Powerball, Fresh 85 Tabs, Dishwasher Detergent Tablets (Packaging May Vary)","Finish","$13.59","Health & Personal Care","20","8,115","$110,283","3650","4.5","AMZ","B00GLXKDPC","https://www.amazon.com/dp/B00GLXKDPC"
