"Export date: 4/23/2017 | Export time: 0:01",,,,,,,,,,,,
"Amazon Best Sellers",,,,,,,,,,,,
"Average Sales: --",,,,,,,,,,,,
"Average Sales Rank: --",,,,,,,,,,,,
"Average Price: --",,,,,,,,,,,,
"Average Reviews: --",,,,,,,,,,,,
,,,,,,,,,,,,,
#,Product Name,Brand,Price,Category,Rank,Est. Sales,Est. Revenue,# of Reviews,Rating,BB Seller,ASIN,Link
"1","Fujifilm Instax Mini Instant Film (3 Twin Packs, 60 Total Pictures)","Fujifilm","$37.50","Camera & Photo","1","4,170","$156,375","1787","4.5","FBA","B00O4OR4GQ","https://www.amazon.com/dp/B00O4OR4GQ"
"2","Fujifilm INSTAX Mini Instant Film Twin Pack (White)","Fujifilm","N.A.","Camera & Photo","2","3,508","N.A.","3501","4.5","N.A.","B00EB4ADQW","https://www.amazon.com/dp/B00EB4ADQW"
"3","Fujifilm Instax Mini Film Value Pack - 60 Images","Fujifilm","$33.99","Camera & Photo","3","3,148","$107,001","2140","4.5","AMZ","B01E3QM34W","https://www.amazon.com/dp/B01E3QM34W"
"4","Fujifilm Instax Mini 8 Instant Camera (Pink)","Fujifilm","$49.99","Camera & Photo","4","2,904","$145,171","10313","4.5","AMZ","B009ZM9R4O","https://www.amazon.com/dp/B009ZM9R4O"
"5","AKASO EK7000 4K WIFI Sports Action Camera Ultra HD Waterproof DV Camcorder 12MP 170 Degree Wide Angle","AKASO","$83.99","Camera & Photo","5","2,722","$228,621","4537","4.5","FBA","B01HGM33HG","https://www.amazon.com/dp/B01HGM33HG"
"6","Polaroid 2x3 inch Premium ZINK Photo Paper QUINTUPLE PACK (50 Sheets) - Compatible With Polaroid Snap, Snap Touch, Z2300, SocialMatic Instant Cameras & Zip Instant Printer","Polaroid","$24.88","Camera & Photo","6","2,577","$64,116","1289","4.5","AMZ","B008GVVUFE","https://www.amazon.com/dp/B008GVVUFE"
"7","Fujifilm Instax Mini 8 Instant Film Camera (Black)","Fujifilm","$53.44","Camera & Photo","7","2,458","$131,356","10313","4.5","AMZ","B00AWKJPMC","https://www.amazon.com/dp/B00AWKJPMC"
"8","GoPro HERO5 Black","GoPro","$399.00","Camera & Photo","8","2,357","$940,443","581","4.5","AMZ","B01M14ATO0","https://www.amazon.com/dp/B01M14ATO0"
"9","Fujifilm INSTAX Mini 8 Instant Camera (Blue)","Fujifilm","$57.95","Camera & Photo","9","2,270","$131,547","10313","4.5","AMZ","B00AWKJPOA","https://www.amazon.com/dp/B00AWKJPOA"
"10","Fujifilm INSTAX Mini Instant Film (Rainbow)","Fujifilm","$7.49","Camera & Photo","10","2,193","$16,426","2140","4.5","AMZ","B00DUNYW7G","https://www.amazon.com/dp/B00DUNYW7G"
"11","Fujifilm Instax Mini Instant Film, 10 Sheets5 Pack(Total 50 Shoots)","Fuji","$31.99","Camera & Photo","11","2,125","$67,979","102","4.5","FBA","B015IY34FA","https://www.amazon.com/dp/B015IY34FA"
"12","Fujifilm instax Wide Instant Film, 20 Exposures, White, New Packaging","Fujifilm","$17.24","Camera & Photo","12","2,063","$35,566","780","4.5","FBA","B00ZFQQJ18","https://www.amazon.com/dp/B00ZFQQJ18"
"13","Fujifilm Instax Mini Monochrome Film - 10 Exposures","Fujifilm","$9.99","Camera & Photo","13","2,008","$20,060","2140","4.5","AMZ","B01LZJ004O","https://www.amazon.com/dp/B01LZJ004O"
"14","Fujifilm Instax Mini Instant Film, 10 Sheets of 5 Pack  2 (100 Sheets)","Fujifilm","$64.95","Camera & Photo","14","1,957","$127,107","2140","4.5","FBA","B00G6C7XUG","https://www.amazon.com/dp/B00G6C7XUG"
"15","GoPro HERO Session","GoPro","$175.00","Camera & Photo","15","1,910","$334,250","525","4","AMZ","B01C80O0ZU","https://www.amazon.com/dp/B01C80O0ZU"
"16","Neewer 50-In-1 Action Camera Accessory Kit for GoPro Hero Session/5 Hero 1 2 3 3+ 4 5 SJ4000 5000 6000 DBPOWER AKASO VicTsing APEMAN WiMiUS Rollei QUMOX Lightdow Campark And Sony Sports DV and More","Neewer","$19.99","Camera & Photo","16","1,867","$37,321","423","4","FBA","B01171X0UW","https://www.amazon.com/dp/B01171X0UW"
"17","Nikon Coolpix L340 20.2 MP Digital Camera with 28x Optical Zoom and 3.0-Inch LCD (Black)","Nikon","$149.99","Camera & Photo","17","1,827","$274,032","821","4","AMZ","B00THKEKEQ","https://www.amazon.com/dp/B00THKEKEQ"
"18","Fujifilm QuickSnap Flash 400 Disposable 35mm Camera (Pack of 2)","Fujifilm","$12.68","Camera & Photo","18","1,789","$22,685","57","4","FBA","B00PUNB1UA","https://www.amazon.com/dp/B00PUNB1UA"
"19","YI Home Camera Wireless IP Security Surveillance System (US Edition) White","YI","$39.99","Camera & Photo","19","1,754","$70,142","1842","4","FBA","B016F3M7OM","https://www.amazon.com/dp/B016F3M7OM"
"20","Combo: (Works with Arlo) Tenergy 3.7V RCR123A Li-ion Battery Charger + 4 pcs 3.7V 650mAh RCR123A Li-ion Batteries for Arlo Wire-Free HD Security Cameras (VMC3030) UN, UL Certified","Tenergy","$49.95","Camera & Photo","20","1,721","$85,964","139","4.5","FBA","B01N0DVFA7","https://www.amazon.com/dp/B01N0DVFA7"
