"Export date: 4/23/2017 | Export time: 0:01",,,,,,,,,,,,
"Amazon Best Sellers",,,,,,,,,,,,
"Average Sales: --",,,,,,,,,,,,
"Average Sales Rank: --",,,,,,,,,,,,
"Average Price: --",,,,,,,,,,,,
"Average Reviews: --",,,,,,,,,,,,
,,,,,,,,,,,,,
#,Product Name,Brand,Price,Category,Rank,Est. Sales,Est. Revenue,# of Reviews,Rating,BB Seller,ASIN,Link
"1","Fire TV Stick with Alexa Voice Remote | Streaming Media Player","Amazon","$39.99","Electronics","1","5,009","$200,310","60634","4.5","AMZ","B00ZV9RDKK","https://www.amazon.com/dp/B00ZV9RDKK"
"2","Echo Dot (2nd Generation) - Black","Amazon","$49.99","Kindle Store","2","4,984","$249,150","24726","4.5","AMZ","B01DFKC2SO","https://www.amazon.com/dp/B01DFKC2SO"
"3","Amazon Fire TV | Streaming Media Player","Amazon","$89.99","Electronics","3","3,988","$358,880","28230","4.5","AMZ","B00U3FPN4U","https://www.amazon.com/dp/B00U3FPN4U"
"4","SENSO Bluetooth Headphones, Best Wireless Sports Earphones w/ Mic IPX7 Waterproof HD Stereo Sweatproof Earbuds for Gym Running Workout 8 Hour Battery Noise Cancelling Headsets","Senso","$36.97","Electronics","4","3,740","$138,268","10279","4.5","FBA","B01G8JO5F2","https://www.amazon.com/dp/B01G8JO5F2"
"5","Amazon Echo - Black","Amazon","$179.99","Electronics","5","3,553","$639,504","54317","4.5","AMZ","B00X4WHP5E","https://www.amazon.com/dp/B00X4WHP5E"
"6","Echo Dot (2nd Generation) - White","Amazon","$49.99","Kindle Store","6","4,110","$205,459","24726","4.5","AMZ","B015TJD0Y4","https://www.amazon.com/dp/B015TJD0Y4"
"7","Fujifilm Instax Mini Instant Film (3 Twin Packs, 60 Total Pictures)","Fujifilm","$37.50","Camera & Photo","1","4,170","$156,375","1787","4.5","FBA","B00O4OR4GQ","https://www.amazon.com/dp/B00O4OR4GQ"
"8","Fire Tablet with Alexa, 7 Display, 8 GB, Blue - with Special Offers","Amazon","$49.99","Electronics","1","5,009","$250,400","116373","4","AMZ","B018Y227MY","https://www.amazon.com/dp/B018Y227MY"
"9","Roku Express","Roku","$29.99","Electronics","9","3,084","$92,489","2258","4.5","AMZ","B01LXJA5JD","https://www.amazon.com/dp/B01LXJA5JD"
"10","Kindle Paperwhite E-reader - Black, 6 High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi - Includes Special Offers","Amazon","$119.99","Electronics","10","3,003","$360,330","41512","4.5","AMZ","B00OQVZDJM","https://www.amazon.com/dp/B00OQVZDJM"
"11","Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Black - with Special Offers","Amazon","$89.99","Electronics","2","4,352","$391,636","30896","4.5","AMZ","B018SZT3BK","https://www.amazon.com/dp/B018SZT3BK"
"12","Fire Tablet with Alexa, 7 Display, 8 GB, Magenta - with Special Offers","Amazon","$49.99","Electronics","3","3,988","$199,360","116373","4","AMZ","B018Y229OU","https://www.amazon.com/dp/B018Y229OU"
"13","SENSO Bluetooth Headphones Wireless Sports Earphones - w/ Mic, IPX7 Waterproof, HD Stereo Sweatproof Earbuds, for Gym Running Workout, 8 Hour Battery, Noise Cancelling Headsets","Senso","$37.97","Electronics","13","2,807","$106,582","10279","4.5","FBA","B01M2CTKH4","https://www.amazon.com/dp/B01M2CTKH4"
"14","Roku Streaming Stick (3600R)","Roku","$49.99","Electronics","14","2,752","$137,572","5524","4.5","AMZ","B01DA0YCNC","https://www.amazon.com/dp/B01DA0YCNC"
"15","Anker 4-Port USB 3.0 Ultra Slim Data Hub for Mac, PC, USB Flash Drives and Other Devices","Anker","$9.99","Computers & Accessories","4","7,969","$79,610","2417","4.5","FBA","B00XMD7KPU","https://www.amazon.com/dp/B00XMD7KPU"
"16","Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Black - with Special Offers","Amazon","$119.99","Electronics","5","3,553","$426,324","30896","4.5","AMZ","B01ACEKAJY","https://www.amazon.com/dp/B01ACEKAJY"
"17","Fujifilm INSTAX Mini Instant Film Twin Pack (White)","Fujifilm","N.A.","Camera & Photo","2","3,508","N.A.","3501","4.5","N.A.","B00EB4ADQW","https://www.amazon.com/dp/B00EB4ADQW"
"18","NETGEAR Nighthawk AC1750 Smart Dual Band WiFi Router (R6700)","NETGEAR","$109.99","Computers & Accessories","6","7,020","$772,130","13353","4.5","AMZ","B00R2AZLD2","https://www.amazon.com/dp/B00R2AZLD2"
"19","Amazon Echo - White","Amazon","$179.99","Electronics","19","2,534","$456,095","54317","4.5","AMZ","B01E6AO69U","https://www.amazon.com/dp/B01E6AO69U"
"20","Sabrent 4-Port USB 3.0 Hub with Individual Power Switches and LEDs (HB-UM43)","Sabrent","$9.99","Computers & Accessories","7","6,675","$66,683","6519","4.5","FBA","B00JX1ZS5O","https://www.amazon.com/dp/B00JX1ZS5O"
