"Export date: 4/23/2017 | Export time: 0:03",,,,,,,,,,,,
"Amazon Best Sellers",,,,,,,,,,,,
"Average Sales: --",,,,,,,,,,,,
"Average Sales Rank: --",,,,,,,,,,,,
"Average Price: --",,,,,,,,,,,,
"Average Reviews: --",,,,,,,,,,,,
,,,,,,,,,,,,,
#,Product Name,Brand,Price,Category,Rank,Est. Sales,Est. Revenue,# of Reviews,Rating,BB Seller,ASIN,Link
"1","TP-Link Smart Plug, No Hub Required, Wi-Fi, Control your Devices from Anywhere, Works w/ Amazon Alexa & Google Assistant (HS100)","TP-Link","$24.99","Tools & Home Improvement","1","7,859","$196,396","6047","4","AMZ","B0178IC734","https://www.amazon.com/dp/B0178IC734"
"2","Rockbirds LED Flashlight, A100 Mini Super Bright 3 Mode Tactical Flashlight, Best Tools for Hiking, Hunting, Fishing and Camping (2 Pack)","RockBirds","$8.00","Tools & Home Improvement","2","6,937","$55,496","249","5","FBA","B00X61AJYM","https://www.amazon.com/dp/B00X61AJYM"
"3","Nest Learning Thermostat, 3rd Generation, Works with Amazon Alexa","Nest","$219.00","Tools & Home Improvement","3","6,424","$1,406,856","11471","4.5","AMZ","B0131RG6VK","https://www.amazon.com/dp/B0131RG6VK"
"4","Affresh Washer Machine Cleaner, 6-Tablets, 8.4 oz","Affresh","$11.98","Tools & Home Improvement","4","6,072","$72,743","3262","4.5","AMZ","B00C91Q86I","https://www.amazon.com/dp/B00C91Q86I"
"5","TP-Link Smart Plug Mini, No Hub Required, Wi-Fi, Works w/ Amazon Alexa & Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105)","TP-Link","$34.99","Tools & Home Improvement","5","5,805","$203,117","6047","4","AMZ","B01K1JVZOE","https://www.amazon.com/dp/B01K1JVZOE"
"6","General Electric MWF Refrigerator Water Filter","N.A.","$40.95","Tools & Home Improvement","6","5,592","$228,992","6592","4.5","AMZ","B000AST3AK","https://www.amazon.com/dp/B000AST3AK"
"7","General Tools 836 Angle-izer Template Tool","General Tools","$2.75","Tools & Home Improvement","7","5,415","$14,891","168","4","Merch","B000V4FJ4C","https://www.amazon.com/dp/B000V4FJ4C"
"8","Streamlight 85177 CR123A Lithium Batteries, 12-Pack","Streamlight","$20.58","Tools & Home Improvement","8","5,264","$108,333","3547","4","AMZ","B000IXCO8K","https://www.amazon.com/dp/B000IXCO8K"
"9","EveryDrop by Whirlpool Refrigerator Water Filter 1 (Pack of 1)","EveryDrop Whirlpool","$39.99","Tools & Home Improvement","9","5,133","$205,269","614","4","AMZ","B00UXG4WR8","https://www.amazon.com/dp/B00UXG4WR8"
"10","URPOWER Solar Lights 8 LED Wireless Waterproof Motion Sensor Outdoor Light  for Patio, Deck, Yard, Garden with Motion Activated Auto On/Off (4-Pack)","URPOWER","$36.99","Tools & Home Improvement","10","5,016","$185,542","4154","4.5","FBA","B012ZPKNFE","https://www.amazon.com/dp/B012ZPKNFE"
"11","ASDOMO Angle-izer Template Tool, Multi-Angle Measuring Ruler, General Angleizer Template Ruler for Handymen Builders Craftsmen","Asdomo","$2.42","Tools & Home Improvement","11","4,912","$11,887","1","5","Merch","B06XWBLJJV","https://www.amazon.com/dp/B06XWBLJJV"
"12","Solar Light, 10 LED Waterproof Outdoor Wireless Motion Sensor Lights with 3 Modes, 2-Pack","Aptoyu","$NaN","Tools & Home Improvement","12","4,818","N.A.","98","4","N.A.","B01N4GKR35","https://www.amazon.com/dp/B01N4GKR35"
"13","Philips 461129 60 Watt Equivalent Soft White A19 LED Light Bulb, 16-Pack","Philips","$24.97","Tools & Home Improvement","13","4,733","$118,183","1468","4.5","AMZ","B01CAL1EMY","https://www.amazon.com/dp/B01CAL1EMY"
"14","Howard Leight by Honeywell Impact Sport Sound Amplification Electronic Earmuff, Green (R-01526","Howard Leight","$33.47","Tools & Home Improvement","14","4,654","$155,769","11400","4.5","AMZ","B001T7QJ9O","https://www.amazon.com/dp/B001T7QJ9O"
"15","Frigidaire ULTRAWF Refrigerator Water Filter","N.A.","N.A.","Tools & Home Improvement","15","4,582","N.A.","2244","4.5","N.A.","B002JAKRAM","https://www.amazon.com/dp/B002JAKRAM"
"16","Gorilla Super Glue, 15 g","Gorilla","$3.83","Tools & Home Improvement","16","4,514","$17,289","970","4.5","AMZ","B001IY82FM","https://www.amazon.com/dp/B001IY82FM"
"17","Samsung Genuine DA29-00020B Refrigerator Water Filter, 1 Pack","Samsung","$49.99","Tools & Home Improvement","17","4,451","$222,505","5013","4.5","AMZ","B003N1ZSYG","https://www.amazon.com/dp/B003N1ZSYG"
"18","Kidde FA110 Multi Purpose Fire Extinguisher 1A10BC, 1 Pack","Kidde","$19.98","Tools & Home Improvement","18","4,393","$87,772","2044","4.5","AMZ","B00002ND64","https://www.amazon.com/dp/B00002ND64"
"19","O'Keeffe's for Healthy Feet Foot Cream, 3.2 oz., Jar","O'Keeffe's","$8.53","Tools & Home Improvement","19","4,337","$36,995","5712","4.5","AMZ","B0002QB9NE","https://www.amazon.com/dp/B0002QB9NE"
"20","Hydroluxe Full-Chrome 24 Function Ultra-Luxury 3-way 2 in 1 Shower-Head /Handheld-Shower Combo","Hydroluxe","$24.99","Tools & Home Improvement","20","4,285","$107,082","4684","4.5","FBA","B00JUZTG4M","https://www.amazon.com/dp/B00JUZTG4M"
