"Export date: 4/23/2017 | Export time: 0:01",,,,,,,,,,,,
"Amazon Best Sellers",,,,,,,,,,,,
"Average Sales: --",,,,,,,,,,,,
"Average Sales Rank: --",,,,,,,,,,,,
"Average Price: --",,,,,,,,,,,,
"Average Reviews: --",,,,,,,,,,,,
,,,,,,,,,,,,,
#,Product Name,Brand,Price,Category,Rank,Est. Sales,Est. Revenue,# of Reviews,Rating,BB Seller,ASIN,Link
"1","Mario Kart 8 Deluxe - Nintendo Switch","Nintendo","$59.00","Video Games","1","31,529","$1,860,211","N.A.","N.A.","AMZ","B01N1037CV","https://www.amazon.com/dp/B01N1037CV"
"2","$20 PlayStation Store Gift Card - PS3/ PS4/ PS Vita [Digital Code]","SCEA","$19.99","Video Games","2","25,932","$518,381","24554","4.5","N.A.","B004RMK4BC","https://www.amazon.com/dp/B004RMK4BC"
"3","$10 PlayStation Store Gift Card - PS3/ PS4/ PS Vita [Digital Code]","SCEA","$9.99","Video Games","3","22,911","$228,881","24554","4.5","N.A.","B00GAC1D2G","https://www.amazon.com/dp/B00GAC1D2G"
"4","$50 PlayStation Store Gift Card - PS3/ PS4/ PS Vita [Digital Code]","SCEA","$49.99","Video Games","4","20,881","$1,043,841","24554","4.5","N.A.","B004RMK4P8","https://www.amazon.com/dp/B004RMK4P8"
"5","Nintendo Switch with Gray Joy-Con","Nintendo","N.A.","Video Games","5","19,371","N.A.","763","4","N.A.","B01LTHP2ZK","https://www.amazon.com/dp/B01LTHP2ZK"
"6","PlayStation Plus 1 Month Membership - PS3 / PS4 / PS Vita [Digital Code]","SCEA","$9.99","Video Games","6","18,180","$181,618","691","4.5","N.A.","B017V6YVDC","https://www.amazon.com/dp/B017V6YVDC"
"7","$100 PlayStation Store Gift Card - PS3/ PS4/ PS Vita [Digital Code]","SCEA","$99.99","Video Games","7","17,202","$1,720,028","24554","4.5","N.A.","B00K59HKIQ","https://www.amazon.com/dp/B00K59HKIQ"
"8","$60 PlayStation Store Gift Card - PS4 / PS3 / PS Vita [Digital Code]","SCEA","$59.99","Video Games","8","16,376","$982,396","24554","4.5","N.A.","B00XJZHJCA","https://www.amazon.com/dp/B00XJZHJCA"
"9","The Legend of Zelda: Breath of the Wild - Nintendo Switch","Nintendo","$57.00","Video Games","9","15,665","$892,905","1049","5","AMZ","B01MS6MO77","https://www.amazon.com/dp/B01MS6MO77"
"10","Nintendo Switch Pro Controller","Nintendo","$69.00","Video Games","10","15,043","$1,037,967","251","4.5","AMZ","B01NAWKYZ0","https://www.amazon.com/dp/B01NAWKYZ0"
"11","DualShock 4 Wireless Controller for PlayStation 4 - Jet Black (CUH-ZCT2)","Sony","$44.28","Video Games","11","14,490","$641,617","1532","4.5","AMZ","B01LWVX2RG","https://www.amazon.com/dp/B01LWVX2RG"
"12","Xbox $10 Gift Card - Digital Code","Microsoft","$10.00","Video Games","12","13,995","$139,950","7078","4.5","N.A.","B00F4CEHNK","https://www.amazon.com/dp/B00F4CEHNK"
"13","1-Year PlayStation Plus Membership - PS3/ PS4/ PS Vita [Digital Code]","SCEA","$59.99","Video Games","13","13,547","$812,685","6619","4.5","N.A.","B004RMK5QG","https://www.amazon.com/dp/B004RMK5QG"
"14","PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle","Sony","$257.97","Video Games","14","13,138","$3,389,210","2244","4.5","AMZ","B01LRLJV28","https://www.amazon.com/dp/B01LRLJV28"
"15","Tom Clancys Ghost Recon Wildlands - Xbox One","Ubisoft","$36.00","Video Games","15","12,764","$459,504","170","4","AMZ","B00ZJEIS2Y","https://www.amazon.com/dp/B00ZJEIS2Y"
"16","Xbox $20 Gift Card - Digital Code","Microsoft","$20.00","Video Games","16","12,418","$248,360","7078","4.5","N.A.","B00F4CEWOY","https://www.amazon.com/dp/B00F4CEWOY"
"17","3-Month Playstation Plus Membership  - PS3/ PS4/ PS Vita [Digital Code]","SCEA","$24.99","Video Games","17","12,098","$302,329","2536","4.5","N.A.","B004RMK57U","https://www.amazon.com/dp/B004RMK57U"
"18","Xbox $25 Gift Card - Digital Code","Microsoft","$25.00","Video Games","18","11,800","$295,000","7078","4.5","N.A.","B00F4CF39C","https://www.amazon.com/dp/B00F4CF39C"
"19","Xbox Live 12 Month Gold Membership - Digital Code","Microsoft","$59.00","Video Games","19","11,522","$679,798","14625","4.5","N.A.","B002VBWIP6","https://www.amazon.com/dp/B002VBWIP6"
"20","Xbox Wireless Controller - White","Microsoft","$47.20","Video Games","20","11,261","$531,519","1128","4.5","AMZ","B01GW3H3U8","https://www.amazon.com/dp/B01GW3H3U8"
